DFS, BESTBOUND, BESTEST, BESTEST_ALT
0.000892833,0.00088875,0.000885944,0.000884625,
0.0225637,0.0227075,0.0227098,0.0226483,
0.115304,0.115098,0.114281,0.113667,
0.207586,0.207573,0.207551,0.207455,
0.386587,0.38678,0.38678,0.386905,
0.722633,0.722462,0.722385,0.722541,
1.44774,1.44801,1.44772,1.4478,
2.28813,2.28696,2.28698,2.28583,
2.97429,2.97256,2.97049,2.96891,
5.48345,5.4828,5.48462,5.48407,
9.01586,9.01763,9.00919,9.01049,
12.0316,12.0671,12.0537,12.0433,
16.4026,16.4043,16.3993,16.3988,
22.8333,22.8326,22.8339,22.8364,
25.5808,25.5972,25.5951,25.5989,
43.4833,43.4547,43.4467,43.4555,
53.4651,53.4935,53.4944,53.4973,
75.3411,75.3084,75.3002,75.303,
72.7979,72.8452,72.8439,72.8226,
152.17,152.156,152.151,152.194,
121.554,121.552,121.585,121.602,
207.742,207.809,207.877,207.96,
217.073,216.872,216.859,216.801,
293.696,293.526,293.415,293.452,
