0.0009436,0.0009145,0.000902889,0.000898333,0.000894,
0.0228716,0.023005,0.0229341,0.0229223,0.0228623,
0.115254,0.115702,0.114463,0.115065,0.115384,
0.208474,0.20892,0.208845,0.208808,0.208853,
0.389201,0.390404,0.390626,0.390077,0.389717,
0.727751,0.730298,0.729912,0.728782,0.728569,
1.45801,1.46238,1.46122,1.45877,1.45751,
2.30154,2.30328,2.30096,2.30009,2.29904,
3.00958,3.01386,3.01157,3.01333,3.01552,
5.6445,5.61749,5.62161,5.62658,5.62621,
9.17308,9.19244,9.18412,9.18517,9.18078,
12.2573,12.2671,12.2623,12.2606,12.251,
16.6813,16.7054,16.6969,16.6909,16.6932,
23.2404,23.1881,23.2031,23.2219,23.2222,
25.8869,25.8442,25.8213,25.8112,25.8045,
43.5627,43.6443,43.5738,43.5829,43.5555,
53.9083,53.932,53.8431,53.8342,53.8156,
75.2518,75.3289,75.3302,75.327,75.3282,
73.0305,73.15,73.122,73.1139,73.0915,
155.535,153.677,154.689,155.271,155.604,
121.787,122.028,122.04,121.982,121.974,
208.463,208.632,208.348,208.262,208.269,
217.443,217.368,217.407,217.445,217.445,
